"Asgardian","English"
"a","{separator particle}"
"ainu","that (close to neither speaker nor listener) | that (over there)"
"akoina","pig | swine"
"akue","fire"
"ano","an | an unspecified member of a class | one | some"
"aro","lion"
"arote","encounter | encountering | meeting"
"ase","shared referent | the one | the"
"aura","wolf"
"ehari","fun | amusement | entertainment"
"eke","pedestal | table"
"ema","transportation | vehicle"
"epa","incoming action | what one ""has done"" to them | what happens to someone"
"haki","number (in sequence) | position (in line)"
"haru","malice | meanness"
"hatu","collection | set | unordered group"
"hau","country | nation-state | state"
"hita","dislike"
"i","1st person singular | I | me | the speaker"
"ihe","fairy tale | fantasy | make-believe"
"iku","good | goodness"
"imate","comfort | contentment | ease, being at ease | satisfaction"
"ime","-ness | state of being"
"iori","donkey"
"irio","dwelling | living (at a place) | residence | residing"
"ita","information | knowledge | what one knows"
"itera","Mouse | Rat | Rodent"
"ka","{conjunction particle} | and"
"kane","now | the present time | present"
"kanote","""getting"" something | making sense of something | comprehension | understanding"
"kape","book | collection of words and illustration | text"
"kasa","crashing sound | smashing sound"
"kasi","{inclusive disjunction particle} | and/or"
"kata","fashion | manner in which something is done | style"
"katu","the current one | this | this here | this now"
"ke","{contrastive particle} | but"
"kekere","chicken | rooster | hen"
"kemi","emotion | feeling"
"kepa","collection | group | plural"
"keperu","strangeness | unusualness | weirdness"
"kepo","home"
"kerima","biting | gnawing | chewing"
"keru","fear | fright"
"kesesi","culture | typical way of acting or behaving in a given society or locale"
"ketuki","female (sex)"
"kia","person | sentient entity | includes human beings"
"kika","crunching sound"
"kisi","language | system of communication with speech, gesture, or writing"
"kitate","excitement"
"kiuki","area | center for a specific task | station"
"koke","goat | //Capra// (genus)"
"koko","crow (bird) | corvid"
"komanu","the next one | what comes after this one"
"komose","newness | novelty | recentness"
"kona","is it true? | is it such a thing?"
"kore","lack | none"
"koro","consuming | consumption | eating (of solid food) | ingesting | ingestion"
"kota","one Earth orbit around the sun | year"
"kua","what? | which?"
"kuakue","duck"
"kuho","concern | worry"
"kuke","phrase"
"kupo","root | word"
"kuposu","noodle(s)"
